"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display","Numeric","Low","High","Comments"
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","COK","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","COK","FMLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","COK","FMLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","COK","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","COK","BTSX","69","69.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","COK","BTSX","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","COK","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CYP","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CYP","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CYP","MLE","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CYP","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CYP","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CYP","FMLE","84","84.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CYP","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CYP","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CYP","BTSX","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CZE","MLE","68","68.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CZE","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CZE","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CZE","FMLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CZE","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CZE","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CZE","BTSX","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CZE","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CZE","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DEU","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DEU","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DEU","MLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DEU","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DEU","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DEU","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DEU","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DEU","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DEU","BTSX","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DNK","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DNK","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DNK","MLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DNK","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DNK","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DNK","FMLE","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DNK","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","DNK","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DNK","BTSX","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ESP","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","ESP","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","ESP","MLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ESP","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","ESP","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","ESP","FMLE","85","85.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ESP","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","ESP","BTSX","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","ESP","BTSX","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","EST","MLE","64","64.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","EST","MLE","65","65.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","EST","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","EST","FMLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","EST","FMLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","EST","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","EST","BTSX","70","70.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","EST","BTSX","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","EST","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FIN","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FIN","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FIN","MLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FIN","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FIN","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FIN","FMLE","84","84.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FIN","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FIN","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FIN","BTSX","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FRA","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FRA","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FRA","MLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FRA","FMLE","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FRA","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FRA","FMLE","85","85.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FRA","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FRA","BTSX","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","FRA","BTSX","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GBR","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GBR","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GBR","MLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GBR","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GBR","FMLE","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GBR","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GBR","BTSX","76","76.00000",,,
